Año,Universidad,Carrera,H,M,Matricula
2015,UNIVERSIDAD TECNOLÓGICA ROOSEVELT,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN,6,99,105
2015,UNIVERSIDAD TECNOLÓGICA ROOSEVELT,LICENCIATURA EN DERECHO,14,13,27
2015,UNIVERSIDAD TECNOLÓGICA ROOSEVELT,LICENCIATURA EN GASTRONOMÍA,36,25,61
2015,UNIVERSIDAD TOLTECA DE MÉXICO,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS,8,13,21
2015,UNIVERSIDAD TOLTECA DE MÉXICO,LICENCIATURA EN ATENCIÓN INFANTIL,2,8,10
2015,UNIVERSIDAD TOLTECA DE MÉXICO,LICENCIATURA EN DERECHO,25,26,51
2015,UNIVERSIDAD TOLTECA DE MÉXICO,LICENCIATURA EN FISIOTERAPIA,85,183,268
2015,UNIVERSIDAD TOLTECA DE MÉXICO,LICENCIATURA EN NUTRICIÓN,23,122,145
2015,UNIVERSIDAD TOLTECA DE MÉXICO,LICENCIATURA EN PEDAGOGÍA,12,46,58
2015,UNIVERSIDAD TOLTECA DE MÉXICO,LICENCIATURA EN PSICOLOGÍA,19,60,79
2015,UNIVERSIDAD UNILIDER,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,18,30,48
2015,UNIVERSIDAD UNILIDER,LICENCIATURA EN COMERCIO INTERNACIONAL Y ADUANAS,18,24,42
2015,UNIVERSIDAD UNILIDER,LICENCIATURA EN CONTADURÍA,14,17,31
2015,UNIVERSIDAD UNILIDER,LICENCIATURA EN DERECHO,34,34,68
2015,UNIVERSIDAD UNILIDER,LICENCIATURA EN INFORMÁTICA ADMINISTRATIVA,3,3,6
2015,UNIVERSIDAD UNILIDER,LICENCIATURA EN PEDAGOGÍA,18,105,123
2015,"UNIVERSIDAD XICOTEPETL, A.C.",INGENIERÍA AGRÓNOMO ESPECIALIDAD EN FITOTECNIA,22,26,48
2015,"UNIVERSIDAD XICOTEPETL, A.C.",INGENIERÍA EN SISTEMAS COMPUTACIONALES,2,1,3
2015,"UNIVERSIDAD XICOTEPETL, A.C.",LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,4,6,10
2015,"UNIVERSIDAD XICOTEPETL, A.C.",LICENCIATURA EN CONTADURÍA PÚBLICA,6,11,17
2015,"UNIVERSIDAD XICOTEPETL, A.C.",LICENCIATURA EN DERECHO,21,26,47
2015,"UNIVERSIDAD XICOTEPETL, A.C.",LICENCIATURA EN INGENIERÍA MECÁNICA AUTOMOTRIZ,8,0,8
2015,"UNIVERSIDAD XICOTEPETL, A.C.",LICENCIATURA EN INGENIERÍA MECÁNICA Y ELÉCTRICA,20,2,22
2015,"UNIVERSIDAD XICOTEPETL, A.C.",LICENCIATURA EN MERCADOTECNIA,2,7,9
2015,"UNIVERSIDAD XICOTEPETL, A.C.",MÉDICO VETERINARIO ZOOTECNISTA,155,54,209
2015,UNIVERSITARIO BAUHAUS,LICENCIATURA EN ARQUITECTURA INTERIOR,13,37,50
2015,UNIVERSITARIO BAUHAUS,LICENCIATURA EN ARTES PLÁSTICAS,25,33,58
2015,UNIVERSITARIO BAUHAUS,LICENCIATURA EN DISEÑO Y COMUNICACIÓN GRÁFICA,22,27,49
2015,UNIVERSITARIO BAUHAUS,LICENCIATURA EN DISEÑO DE NEGOCIOS,1,5,6
2015,UPN SEAD 211 UNIDAD PUEBLA,LICENCIATURA EN ADMINISTRACIÓN EDUCATIVA,23,53,76
2015,UPN SEAD 211 UNIDAD PUEBLA,LICENCIATURA EN EDUCACIÓN,0,0,0
2015,UPN SEAD 211 UNIDAD PUEBLA,LICENCIATURA EN EDUCACIÓN PREESCOLAR INDÍGENA,16,222,238
2015,UPN SEAD 211 UNIDAD PUEBLA,LICENCIATURA EN EDUCACIÓN PRIMARIA PARA EL MEDIO INDÍGENA,183,235,418
2015,UPN SEAD 211 UNIDAD PUEBLA,LICENCIATURA EN INTERVENCIÓN EDUCATIVA,61,380,441
2015,UPN SEAD 211 UNIDAD PUEBLA,LICENCIATURA EN PSICOLOGÍA EDUCATIVA,108,457,565
2015,UPN SEAD 212 UNIDAD TEZIUTLÁN,LICENCIATURA EN EDUCACIÓN,1,0,1
2015,UPN SEAD 212 UNIDAD TEZIUTLÁN,LICENCIATURA EN EDUCACIÓN E INNOVACIÓN PEDAGÓGICA,11,31,42
2015,UPN SEAD 212 UNIDAD TEZIUTLÁN,LICENCIATURA EN EDUCACIÓN PREESCOLAR INDÍGENA,1,67,68
2015,UPN SEAD 212 UNIDAD TEZIUTLÁN,LICENCIATURA EN EDUCACIÓN PRIMARIA INDÍGENA,70,123,193
2015,UPN SEAD 212 UNIDAD TEZIUTLÁN,LICENCIATURA EN INTERVENCIÓN EDUCATIVA (EDUCACIÓN INICIAL),4,94,98
2015,UPN SEAD 212 UNIDAD TEZIUTLÁN,LICENCIATURA EN PEDAGOGÍA,95,326,421
2015,UPN SEAD 213 UNIDAD TEHUACÁN,LICENCIATURA EN ADMINISTRACIÓN EDUCATIVA,7,47,54
2015,UPN SEAD 213 UNIDAD TEHUACÁN,LICENCIATURA EN EDUCACIÓN,0,0,0
2015,UPN SEAD 213 UNIDAD TEHUACÁN,LICENCIATURA EN EDUCACIÓN PREESCOLAR INDÍGENA,19,62,81
2015,UPN SEAD 213 UNIDAD TEHUACÁN,LICENCIATURA EN EDUCACIÓN PRIMARIA INDÍGENA,61,58,119
2015,UPN SEAD 213 UNIDAD TEHUACÁN,LICENCIATURA EN INTERVENCIÓN EDUCATIVA,6,141,147
2015,WILBING CENTRO UNIVERSITARIO,LICENCIATURA EN COSMIATRÍA NATUROPÁTICA,0,20,20
2015,COLEGIO DE POSTGRADO EN DESARROLLO DE SOFTWARE,LICENCIATURA EN DESARROLLO DE SOFTWARE,10,0,10
2015,COLEGIO DE POSTGRADO EN DESARROLLO DE SOFTWARE,TÉCNICO SUPERIOR UNIVERSITARIO EN DESARROLLO DE SOFTWARE,0,1,1
2015,INSTITUTO SUPERIOR DEL CENTRO EDUCATIVO DE PUEBLA,LICENCIATURA EN DISEÑO DE MODAS,1,2,3
2015,INSTITUTO LONDRES DE PUEBLA S. C.,LICENCIATURA EN GASTRONOMÍA,38,35,73
2015,"CENTRO INTEGRAL DE ESTUDIOS SUPERIORES, CIES",LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,78,71,149
2015,"CENTRO INTEGRAL DE ESTUDIOS SUPERIORES, CIES",LICENCIATURA EN CONTADURÍA PÚBLICA,50,59,109
2015,"CENTRO INTEGRAL DE ESTUDIOS SUPERIORES, CIES",LICENCIATURA EN DERECHO,181,121,302
2015,INSTITUTO UNIVERSITARIO AM,LICENCIATURA EN ADMINISTRACIÓN DEPORTIVA,15,0,15
2015,INSTITUTO UNIVERSITARIO AM,LICENCIATURA EN ENFERMERÍA,23,101,124
2015,INSTITUTO UNIVERSITARIO AM,LICENCIATURA EN FISIOTERAPIA,37,58,95
2015,INSTITUTO UNIVERSITARIO AM,LICENCIATURA EN IDIOMAS,19,28,47
2015,INSTITUTO UNIVERSITARIO AM,LICENCIATURA EN INGENIERÍA CIVIL,42,4,46
2015,UNIVERSIDAD ALIANZA HISPANA,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,24,28,52
2015,UNIVERSIDAD ALIANZA HISPANA,LICENCIATURA EN ARQUITECTURA,60,16,76
2015,UNIVERSIDAD ALIANZA HISPANA,LICENCIATURA EN CONTADURÍA PÚBLICA,4,10,14
2015,UNIVERSIDAD ALIANZA HISPANA,LICENCIATURA EN DERECHO,22,28,50
2015,UNIVERSIDAD ALIANZA HISPANA,LICENCIATURA EN DISEÑO GRÁFICO,17,18,35
2015,UNIVERSIDAD ALIANZA HISPANA,LICENCIATURA EN EDUCACIÓN,4,2,6
2015,UNIVERSIDAD ALIANZA HISPANA,LICENCIATURA EN MERCADOTECNIA Y PUBLICIDAD,4,1,5
2015,UNIVERSIDAD ALIANZA HISPANA,LICENCIATURA EN PSICOLOGÍA,18,38,56
2015,UNIVERSIDAD ALIANZA HISPANA,LICENCIATURA EN PSICOLOGÍA,18,38,56
,,,,,
2016,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,7,9,16
2016,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN CONTADURÍA PÚBLICA,6,15,21
2016,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN DERECHO,1,7,8
2016,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN DERECHO Y CIENCIAS SOCIALES,12,18,30
2016,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN DISEÑO GRÁFICO,12,9,21
2016,ANGELOPOLIS UNIVERSIDAD DE ATLIXCO UNIVA,LICENCIATURA EN PSICOLOGÍA,13,40,53
2016,"AS MEDIA CENTRO DE FORMACIÓN PROFESIONAL, A.C.",LICENCIATURA EN ASESORÍA DE IMAGEN,4,43,47
2016,"AS MEDIA CENTRO DE FORMACIÓN PROFESIONAL, A.C.",LICENCIATURA EN DISEÑO MULTIMEDIA,25,16,41
2016,"AS MEDIA CENTRO DE FORMACIÓN PROFESIONAL, A.C.",LICENCIATURA EN TELEVISIÓN,52,57,109
2016,"ATENEO UNIVERSITARIO EN HUMANIDADES Y CIENCIAS DE LA SALUD, A. C.",LICENCIATURA EN ENFERMERÍA,44,181,225
2016,"ATENEO UNIVERSITARIO EN HUMANIDADES Y CIENCIAS DE LA SALUD, A. C.",LICENCIATURA EN ODONTOLOGÍA,6,15,21
2016,"ATENEO UNIVERSITARIO EN HUMANIDADES Y CIENCIAS DE LA SALUD, A. C.",LICENCIATURA EN TERAPIA FÍSICA Y REHABILITACIÓN,36,49,85
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,CURSO COMPLEMENTARIO DE LA LICENCIATURA EN ENFERMERÍA,1,33,34
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AGROFORESTAL,38,43,81
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AGROINDUSTRIAL,36,28,64
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AGRÓNOMO ZOOTECNISTA,70,40,110
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA AMBIENTAL,220,368,588
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA CIVIL,943,222,"1,165"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN AGROHIDRÁULICA,89,65,154
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN ALIMENTOS,151,358,509
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN CIENCIAS DE LA COMPUTACIÓN,"1,586",420,"2,006"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN GEOFÍSICA,145,94,239
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN MATERIALES,110,64,174
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN MECATRÓNICA,"1,017",184,"1,201"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN,324,100,424
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA INDUSTRIAL,678,399,"1,077"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA MECÁNICA Y ELÉCTRICA,916,86,"1,002"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA QUÍMICA,311,319,630
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA TEXTIL,57,65,122
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,INGENIERÍA TOPOGRÁFICA Y GEODÉSICA,145,62,207
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ACTUARIA,206,171,377
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,"1,348","1,893","3,241"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ADMINISTRACIÓN PÚBLICA Y CIENCIAS POLÍTICAS,379,332,711
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ADMINISTRACIÓN TURÍSTICA,460,"1,166","1,626"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ADMINISTRACIÓN Y DIRECCIÓN DE PEQUEÑAS Y MEDIANAS EMPRESAS,50,61,111
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ANTROPOLOGÍA SOCIAL,102,132,234
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ARQUITECTURA,"1,582","1,095","2,677"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ARTE DIGITAL,74,62,136
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ARTE DRAMÁTICO,70,134,204
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ARTES PLÁSTICAS,41,83,124
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN BIOLOGÍA,433,649,"1,082"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN BIOMEDICINA,71,77,148
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN BIOTECNOLOGÍA,83,105,188
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,420,135,555
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN,16,13,29
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CIENCIAS POLÍTICAS,481,350,831
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CINEMATOGRAFÍA,77,60,137
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN COMERCIO INTERNACIONAL,516,800,"1,316"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN COMUNICACIÓN,648,898,"1,546"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CONSULTORÍA JURÍDICA,108,144,252
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CONTADURÍA,2,0,2
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CONTADURÍA PÚBLICA,"1,590","2,631","4,221"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CRIMINOLOGÍA,310,603,913
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN CULTURA FÍSICA,729,256,985
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DANZA,29,181,210
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DANZA MODERNA Y CLÁSICA,1,1,2
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DERECHO,"2,130","2,522","4,652"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DIRECCIÓN FINANCIERA,20,14,34
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DISEÑO GRÁFICO,560,734,"1,294"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN DISEÑO URBANO AMBIENTAL,8,11,19
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ECONOMÍA,381,329,710
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ELECTRÓNICA,695,84,779
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ENFERMERÍA,131,852,983
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ENFERMERÍA (CURSO COMPLEMENTARIO),7,182,189
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ENSEÑANZA DEL FRANCÉS,91,165,256
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ESTOMATOLOGÍA,790,"1,864","2,654"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN ETNOCOREOLOGÍA,25,80,105
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FARMACIA,53,81,134
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FILOSOFÍA,164,91,255
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FINANZAS,186,191,377
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FÍSICA,258,109,367
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FÍSICA APLICADA,148,74,222
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN FISIOTERAPIA,251,679,930
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN GASTRONOMÍA,224,265,489
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN HISTORIA,195,172,367
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN INGENIERÍA AGROINDUSTRIAL,13,16,29
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN INGENIERÍA AGRONÓMICA EN ZOOTECNIA,21,17,38
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN INGENIERÍA EN ENERGÍAS RENOVABLES,141,74,215
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN INGENIERÍA EN SISTEMAS AUTOMOTRICES,266,31,297
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN LA ENSEÑANZA DE LENGUAS-INGLÉS,13,37,50
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN LA ENSEÑANZA DEL INGLÉS,490,997,"1,487"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN LENGUAS MODERNAS,10,7,17
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN LINGÜÍSTICA Y LITERATURA HISPÁNICA,142,272,414
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MATEMÁTICAS,133,110,243
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MATEMÁTICAS APLICADAS,101,87,188
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MEDICINA,"2,506","2,937","5,443"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MEDICINA FAMILIAR Y COMUNITARIA,67,106,173
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,569,446,"1,015"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MERCADOTECNIA Y MEDIOS DIGITALES,77,99,176
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN MÚSICA,215,65,280
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN NEGOCIOS INTERNACIONALES,72,92,164
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN NUTRICIÓN CLÍNICA,101,492,593
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN PROCESOS EDUCATIVOS,27,144,171
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN PSICOLOGÍA,674,"1,886","2,560"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN QUÍMICA,94,82,176
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN QUÍMICO FARMACOBIÓLOGO,502,886,"1,388"
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN READAPTACIÓN Y ACTIVACIÓN FÍSICA,33,30,63
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN RELACIONES INTERNACIONALES,229,483,712
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN SOCIOLOGÍA,82,131,213
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA EN URBANISMO Y DISEÑO AMBIENTAL,230,186,416
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,LICENCIATURA QUÍMICO FARMACOBIÓLOGO,17,20,37
2016,BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,PROFESIONAL ASOCIADO EN IMAGENOLOGÍA,60,99,159
2016,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE ATENCIÓN INTELECTUAL,3,113,116
2016,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN FÍSICA,182,71,253
2016,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN INICIAL,0,95,95
2016,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN PREESCOLAR,2,409,411
2016,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN PRIMARIA,52,227,279
2016,BENEMÉRITO INSTITUTO NORMAL DEL ESTADO GENERAL JUAN CRISÓSTOMO BONILLA,LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TELESECUNDARIA,76,171,247
2016,CENTRO ACADÉMICO Y CAPACITACIÓN DE EXCELENCIA,TÉCNICO SUPERIOR UNIVERSITARIO EN URGENCIAS MÉDICAS,7,3,10
2016,CENTRO DE CAPACITACIÓN Y DESARROLLO DE ESTUDIOS PROFESIONALES,LICENCIATURA EN SERVICIO Y PROMOCIÓN TURÍSTICA,6,6,12
2016,"CENTRO DE CIENCIAS JURÍDICAS DE PUEBLA, A.C.",LICENCIATURA EN CRIMINOLOGÍA Y CRIMINALÍSTICA,37,43,80
2016,"CENTRO DE CIENCIAS JURÍDICAS DE PUEBLA, A.C.",LICENCIATURA EN DERECHO,124,84,208
2016,CENTRO DE EDUCACIÓN ABIERTA (SISTEMA NO ESCOLARIZADO),LICENCIATURA EN ADMINISTRACIÓN,20,34,54
2016,CENTRO DE EDUCACIÓN ABIERTA (SISTEMA NO ESCOLARIZADO),LICENCIATURA EN CONTADURÍA,8,21,29
2016,CENTRO DE EDUCACIÓN ABIERTA (SISTEMA NO ESCOLARIZADO),LICENCIATURA EN CONTADURÍA PÚBLICA,8,14,22
2016,CENTRO DE EDUCACIÓN ABIERTA (SISTEMA NO ESCOLARIZADO),LICENCIATURA EN DERECHO,38,48,86
2016,CENTRO DE ENSEÑANZA SUPERIOR EN DISEÑO DE MODAS,LICENCIATURA EN DISEÑO GRÁFICO,6,2,8
2016,CENTRO DE ENSEÑANZA SUPERIOR EN DISEÑO DE MODAS,LICENCIATURA EN DISEÑO Y ARMONIZACIÓN DE LA MODA,2,7,9
2016,CENTRO DE ESTUDIOS DE ESTÉTICA Y COSMETOLOGÍA ALBADA,TÉCNICO SUPERIOR UNIVERSITARIO EN COSMETOLOGÍA INTEGRAL,0,0,0
2016,CENTRO DE ESTUDIOS INTENSIVOS,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,83,99,182
2016,CENTRO DE ESTUDIOS INTENSIVOS,LICENCIATURA EN ADMINISTRACIÓN TURÍSTICA,7,16,23
2016,CENTRO DE ESTUDIOS INTENSIVOS,LICENCIATURA EN COMERCIO EXTERIOR Y ADUANAS,20,17,37
2016,CENTRO DE ESTUDIOS INTENSIVOS,LICENCIATURA EN MERCADOTECNIA,6,13,19
2016,CENTRO DE ESTUDIOS INTENSIVOS,LICENCIATURA EN DOCENCIA Y EDUCACIÓN A DISTANCIA,9,44,53
2016,"CENTRO DE ESTUDIOS JAVE, A.C.",LICENCIATURA EN COSMETOLOGÍA INTEGRAL,0,80,80
2016,CENTRO DE ESTUDIOS LAS AMÉRICAS,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,11,18,29
2016,CENTRO DE ESTUDIOS LAS AMÉRICAS,LICENCIATURA EN CONTADURÍA PÚBLICA Y AUDITORÍA,21,21,42
2016,CENTRO DE ESTUDIOS LAS AMÉRICAS,LICENCIATURA EN DERECHO Y CIENCIAS SOCIALES,51,68,119
2016,CENTRO DE ESTUDIOS PARA EL DESARROLLO RURAL,LICENCIATURA EN PLANEACIÓN DE DESARROLLO RURAL,28,23,51
2016,CENTRO DE ESTUDIOS PARA EL DESARROLLO RURAL,LICENCIATURA EN PLANEACIÓN DEL DESARROLLO RURAL,43,32,75
2016,"CENTRO DE ESTUDIOS SUPERIORES DE TEPEACA, A.C.",LICENCIATURA EN DERECHO,15,31,46
2016,"CENTRO DE ESTUDIOS SUPERIORES DE TEPEACA, A.C.",LICENCIATURA EN ODONTOLOGÍA,24,42,66
2016,"CENTRO DE ESTUDIOS SUPERIORES DE TEPEACA, A.C.",MÉDICO CIRUJANO Y PARTERO,266,232,498
